question_text,option_a,option_b,option_c,option_d,correct_answer
"What is the smallest country in the world by land area?",Vatican City,Monaco,Nauru,San Marino,Vatican City
"Which programming language was created by Brendan Eich?",Python,JavaScript,Java,C++,JavaScript
"What is the chemical symbol for the element Tungsten?",T,Tu,W,Wg,W
"Which planet has the most moons in our solar system?",Jupiter,Saturn,Neptune,Uranus,Jupiter
"What is the capital of New Zealand?",Auckland,Wellington,Christchurch,Hamilton,Wellington
"Which year was the first iPhone released?",2005,2006,2007,2008,2007
"What is the largest mammal in the world?",African Elephant,Blue Whale,Giraffe,Polar Bear,Blue Whale
"Which country has the most time zones?",Russia,United States,France,China,France
"What is the hardest natural substance on Earth?",Diamond,Quartz,Topaz,Corundum,Diamond
"Which element has the atomic number 1?",Helium,Hydrogen,Lithium,Carbon,Hydrogen
