question_text,option_a,option_b,option_c,option_d,correct_answer
"What is the capital of France?","London","Paris","Berlin","Madrid","Paris"
"Which planet is known as the Red Planet?","Venus","Mars","Jupiter","Saturn","Mars"
"What is 2 + 2?","3","4","5","6","4"
"Who wrote Romeo and Juliet?","Charles Dickens","William Shakespeare","Jane Austen","Mark Twain","William Shakespeare"
"What is the largest ocean on Earth?","Atlantic Ocean","Indian Ocean","Arctic Ocean","Pacific Ocean","Pacific Ocean"
"What is the chemical symbol for gold?","Ag","Au","Fe","Cu","Au"
"Which country is home to the kangaroo?","New Zealand","South Africa","Australia","Canada","Australia"
"What is the main component of the sun?","Liquid Lava","Molten Iron","Hot Gases","Solid Rock","Hot Gases"
"Which of these is a programming language?","HTML","CSS","JavaScript","XML","JavaScript"
"What year did World War II end?","1943","1944","1945","1946","1945"

